x,I
0.8009549325262397,27514.244
0.8022103932506304,27502.152
0.803465853975021,27516.76
0.8047213146994117,27520.773
0.8059767754238023,27527.166
0.8072322361481931,27546.95
0.8084876968725837,27551.092
0.8097431575969744,27532.078
0.810998618321365,27531.812
0.8122540790457556,27551.14
0.8135095397701463,27561.537
0.8147650004945369,27553.014
0.8160204612189276,27555.072
0.8172759219433182,27548.826
0.8185313826677089,27552.229
0.8197868433920995,27565.531
0.8210423041164902,27577.656
0.8222977648408808,27571.713
0.8235532255652714,27578.578
0.8248086862896621,27578.242
0.8260641470140527,27583.014
0.8273196077384434,27593.549
0.8285750684628342,27602.705
0.8298305291872249,27624.252
0.8310859899116155,27650.775
0.8323414506360062,27663.67
0.8335969113603968,27664.854
0.8348523720847875,27654.014
0.8361078328091781,27649.271
0.8373632935335688,27648.37
0.8386187542579594,27636.96
0.8398742149823502,27620.525
0.8411296757067408,27622.156
0.8423851364311314,27596.76
0.8436405971555221,27598.615
0.8448960578799127,27583.527
0.8461515186043034,27554.422
0.847406979328694,27542.273
0.8486624400530847,27530.133
0.8499179007774753,27539.658
0.851173361501866,27538.572
0.8524288222262566,27549.46
0.8536842829506472,27551.594
0.8549397436750379,27547.316
0.8561952043994285,27578.523
0.8574506651238192,27614.389
0.8587061258482098,27601.932
0.8599615865726005,27604.232
0.8612170472969911,27619.227
0.862472508021382,27631.195
0.8637279687457726,27656.553
0.8649834294701633,27660.766
0.8662388901945539,27652.785
0.8674943509189446,27649.824
0.8687498116433352,27656.879
0.8700052723677258,27673.82
0.8712607330921167,27679.441
0.8725161938165074,27680.596
0.873771654540898,27661.088
0.8750271152652886,27662.35
0.8762825759896793,27665.676
0.8775380367140699,27674.139
0.8787934974384606,27643.516
0.8800489581628512,27625.852
0.8813044188872419,27605.525
0.8825598796116325,27617.434
0.8838153403360232,27622.436
0.8850708010604138,27612.146
0.8863262617848044,27619.459
0.8875817225091951,27633.7
0.8888371832335857,27660.041
0.8900926439579764,27675.06
0.891348104682367,27689.947
0.8926035654067577,27684.707
0.8938590261311483,27705.346
0.895114486855539,27720.373
0.8963699475799297,27700.744
0.8976254083043204,27704.123
0.898880869028711,27709.146
0.9001363297531016,27692.863
0.9013917904774923,27693.904
0.9026472512018829,27695.824
0.9039027119262738,27680.617
0.9051581726506644,27672.37
0.9064136333750551,27675.387
0.9076690940994457,27684.92
0.9089245548238364,27698.535
0.910180015548227,27695.96
0.9114354762726177,27701.88
0.9126909369970083,27708.0
0.913946397721399,27711.1
0.9152018584457896,27723.734
0.9164573191701803,27742.164
0.9177127798945709,27751.73
0.9189682406189615,27754.525
0.9202237013433522,27737.17
0.9214791620677428,27726.09
0.9227346227921335,27724.105
0.9239900835165241,27741.762
0.9252455442409148,27749.346
0.9265010049653054,27735.004
0.927756465689696,27737.314
0.9290119264140868,27722.896
0.9302673871384775,27736.014
0.9315228478628681,27737.111
0.9327783085872587,27738.715
0.9340337693116494,27744.96
0.93528923003604,27741.271
0.9365446907604307,27748.85
0.9378001514848215,27755.734
0.9390556122092122,27767.574
0.9403110729336028,27781.672
0.9415665336579935,27797.89
0.9428219943823841,27808.307
0.9440774551067748,27818.223
0.9453329158311654,27802.62
0.946588376555556,27802.969
0.9478438372799467,27809.908
0.9490992980043373,27798.002
0.950354758728728,27797.877
0.9516102194531186,27798.62
0.9528656801775093,27789.67
0.9541211409018999,27791.389
0.9553766016262906,27787.873
0.9566320623506812,27785.201
0.9578875230750719,27784.576
0.9591429837994625,27774.09
0.9603984445238531,27770.934
0.961653905248244,27780.02
0.9629093659726347,27792.498
0.9641648266970253,27801.674
0.965420287421416,27808.072
0.9666757481458066,27818.814
0.9679312088701972,27820.37
0.9691866695945879,27818.527
0.9704421303189786,27823.057
0.9716975910433693,27817.746
0.9729530517677599,27806.459
0.9742085124921506,27807.078
0.9754639732165412,27803.713
0.9767194339409319,27809.018
0.9779748946653225,27802.482
0.9792303553897131,27798.158
0.9804858161141038,27805.09
0.9817412768384944,27819.227
0.9829967375628851,27808.646
0.9842521982872757,27814.68
0.9855076590116664,27812.463
0.986763119736057,27811.781
0.9880185804604477,27829.443
0.9892740411848383,27817.982
0.990529501909229,27814.031
0.9917849626336196,27806.934
0.9930404233580102,27804.193
0.9942958840824011,27812.879
0.9955513448067917,27826.09
0.9968068055311824,27832.059
0.998062266255573,27823.814
0.9993177269799637,27816.871
1.0005731877043542,27831.885
1.0018286484287449,27837.46
1.0030841091531357,27836.182
1.0043395698775264,27825.873
1.005595030601917,27823.322
1.0068504913263077,27812.361
1.0081059520506983,27803.004
1.009361412775089,27809.04
